Что такое линейное уравнение?,Равенство
Что обозначает переменная в линейном уравнении?,Неизвестное
Что означает решение линейного уравнения?,Корень
Какой тип уравнения имеет график прямой линии?,Линейное
Какой метод используется для решения системы линейных уравнений?,Метод замены
Что такое квадратное уравнение?,Полином
Сколько корней может иметь квадратное уравнение?,Два
Как найти вершины параболы заданной квадратным уравнением?,Смена знака
Как найти дискриминант квадратного уравнения?,Коэффициенты
Какой метод используется для решения квадратного уравнения?,Формула Квадратного корня
Что такое система уравнений?,Набор
Какие методы можно использовать для решения системы линейных уравнений?,Метод Гаусса
Сколько решений может иметь система уравнений?,Один
Что означает совместная система уравнений?,Решение
Как называется система уравнений у которой нет решений?,Несовместная
